OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.276727,0.180671,0.151558,29.727370,6.410715,0.271836,0.861511,11.993514,15.461623,9.749681,3
0.185691,0.126639,0.203877,29.268203,7.066971,0.292265,0.847542,13.217419,16.416681,9.751837,3
0.423376,0.227823,0.101086,28.695635,6.611594,0.357221,0.854422,14.242544,17.178533,9.627793,3
0.345635,0.187800,0.168922,29.731228,6.729285,0.285920,0.807961,12.127564,15.697307,9.974850,3
0.420770,0.244374,0.241373,29.557573,6.723166,0.244941,0.774592,11.685339,16.280072,11.359095,3
0.382075,0.213265,0.124556,30.083425,6.722861,0.240188,0.794810,11.209893,15.700654,11.022339,3
0.354246,0.223730,0.262821,29.685990,6.927907,0.375288,0.856208,11.763838,15.744778,10.470507,3
0.060304,0.089271,0.161956,30.160694,6.490593,0.233483,0.826678,11.035798,16.130659,11.800311,3
0.064396,0.088469,0.269185,29.992415,6.777682,0.873386,0.862800,11.199835,16.562545,12.226776,3
0.147635,0.132447,0.087192,30.272791,6.831149,0.328223,0.832523,10.890270,16.692179,12.678160,3
0.336699,0.206008,0.109809,29.905951,6.476105,0.513604,0.808044,10.973483,16.357630,12.143159,3
0.318499,0.187046,0.653791,30.010554,6.939780,0.978607,0.831636,11.092635,16.483285,12.203575,3
0.289173,0.183120,0.183067,29.661991,6.650949,0.139280,0.825611,11.584149,17.903857,13.672489,3
0.124984,0.119399,0.220492,29.576803,6.407143,0.541499,0.798215,11.895140,19.592739,15.592827,3
0.070471,0.096639,0.184633,29.641019,6.270097,0.280993,0.792376,11.536318,20.052662,16.438699,3
0.062496,0.093675,0.241203,29.667575,6.459654,0.463229,0.813200,11.096773,18.886961,15.314458,3
0.045633,0.076027,0.083393,29.958904,6.292980,0.220452,0.798078,10.895384,18.464987,14.928997,3
0.226826,0.140159,0.087777,29.834743,6.187884,0.291224,0.771786,11.434122,19.344129,15.619685,3
0.269986,0.169910,0.098136,29.888535,6.345425,0.323607,0.834050,11.373118,19.688450,16.086140,3
0.322750,0.175814,0.082211,29.919062,6.882429,0.319358,0.772532,11.207804,18.878368,15.200917,3
0.244197,0.176406,0.124970,29.928656,6.334898,0.233801,0.754307,11.533112,17.595850,13.291197,3
0.163123,0.144355,0.181778,29.875300,6.473398,0.350262,0.778063,11.255947,18.223555,14.344621,3
0.107354,0.111383,0.144478,29.654568,6.357155,0.503947,0.792272,11.071222,18.299729,14.599302,3
0.050776,0.080178,0.200387,29.974472,7.041928,0.222183,0.763744,11.449205,18.399906,14.438265,3
0.046020,0.076940,0.134355,29.605052,6.272229,0.203310,0.838964,12.051575,16.850511,11.780621,3
0.043616,0.074325,0.188335,29.633955,6.424385,0.406487,0.911616,11.517773,15.651159,10.618701,3
0.032012,0.067239,0.076731,29.750986,10.144295,0.197696,1.707810,11.502415,18.237510,14.167394,3
0.001056,0.214669,0.241036,100.000000,8.487906,0.174692,1.623609,100.000000,100.000000,100.000000,1
0.010995,0.138470,0.147304,103.322563,7.267875,0.063752,1.324576,104.129206,101.032282,99.433395,1
0.118334,0.097379,0.132350,96.768663,7.138203,0.592752,1.086763,130.331661,106.969278,94.261029,1
0.108315,0.155647,0.155985,98.624366,7.025666,0.262922,1.053090,129.051279,100.099883,83.601903,1
0.137002,0.153865,0.113968,102.213496,6.853849,0.202212,1.067182,121.139612,90.572147,72.455095,1
0.140886,0.164205,0.127608,97.707867,6.744339,0.270682,0.990396,122.403650,94.854672,79.089743,1
0.129548,0.157934,0.147310,101.046072,6.897308,0.122152,0.944093,120.228542,101.295101,91.132851,1
0.117411,0.142433,0.124915,103.354895,7.347094,0.236063,0.953095,119.933090,111.704846,107.568193,1
0.304539,0.220802,0.146818,102.740783,7.602815,0.370862,0.984882,127.534422,118.129277,113.423007,1
0.449563,0.290175,0.255605,98.336365,7.460152,1.242413,1.000909,126.972197,117.701069,113.009962,1
