OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS,Fatigue_level
0.141652,0.050785,0.16744,6.148819,0.887834,12.115456,10.459779,6.920658,7.617725,131.277289,1
0.150193,0.054244,0.164116,5.981311,0.922281,11.986725,10.408773,7.420965,7.638301,142.05602,1
0.139052,0.05213,0.172294,5.566346,1.940496,11.854715,10.483644,7.976393,7.599591,153.042948,1
0.150506,0.050884,0.198708,5.900247,3.357,11.94582,10.400457,31.046008,7.724294,157.090187,1
0.135086,0.039886,0.254017,5.586878,3.028963,11.825091,10.434165,17.099657,7.755363,155.675454,2
0.141348,0.050059,0.151673,5.429712,1.944101,12.358888,11.125305,7.325651,7.890833,163.944289,2
0.154995,0.062996,0.186192,6.113636,1.21835,12.909381,11.387935,7.636444,7.923936,164.38756,2
0.146215,0.050991,0.180505,6.04663,1.100381,13.093821,11.635379,7.763468,7.523322,152.165939,2
0.142126,0.051576,0.15042,5.790382,1.026808,13.523955,12.246284,7.88774,7.243006,147.413839,2
0.149651,0.057215,0.205816,5.797727,0.973075,13.554876,12.2781,7.99727,7.172787,149.413913,2
0.149456,0.053762,0.161128,6.069083,0.937991,13.575905,12.167625,7.642688,7.090016,153.305503,2
0.143157,0.051135,0.171861,5.917237,0.907055,14.086583,12.809236,7.16561,7.037721,150.643924,2
0.144523,0.05361,0.180511,5.725125,0.910139,14.227026,13.05198,7.420403,7.194174,149.027984,2
0.15324,0.071407,0.152861,5.897514,0.922094,13.952507,12.670888,7.526117,7.362849,149.758543,2
0.150827,0.07983,0.18975,5.723948,0.911144,13.31903,12.050191,7.367115,6.922195,156.147368,2
0.153312,0.067763,0.152887,5.862029,0.921358,13.655126,12.358829,7.088005,6.625291,153.142449,2
0.154652,0.058507,0.148888,5.787853,0.930483,13.622248,12.355571,7.132542,6.902238,160.754296,2
0.150254,0.053241,0.178597,5.085254,0.931849,13.545116,12.575441,7.244535,7.376345,177.400215,2
0.151822,0.057758,0.191969,6.189832,0.947609,14.031352,12.619246,7.495023,7.133239,177.967719,2
0.154576,0.060767,0.191236,5.800853,0.943964,13.732829,12.473832,7.587818,6.882274,183.092374,2
0.156211,0.054762,0.158788,5.301726,0.935034,13.286492,12.208814,7.4304,7.669814,191.083022,2
0.147687,0.059646,0.183873,5.570949,0.950322,13.601075,12.431108,7.483347,8.176708,189.692966,2
0.158426,0.067169,0.163198,6.178322,0.927154,13.878796,12.454901,7.429501,8.401879,199.076195,2
0.147715,0.076643,0.148055,6.186189,0.898395,14.139699,12.742095,7.549055,8.768496,202.781026,2
0.150405,0.059262,0.185922,5.609828,0.924119,13.565167,12.372002,7.645448,8.198868,209.522596,2
0.14431,0.049294,0.160958,5.470409,0.930289,13.258417,12.082738,7.226917,8.163655,210.841681,2
0.141878,0.068388,0.16449,6.219124,0.921737,13.791717,12.32205,7.054132,8.48993,224.756135,2
0.150202,0.072331,0.178483,5.645146,0.897365,13.955367,12.789566,7.086759,8.330069,228.108863,2
0.152283,0.066942,0.143944,5.61305,0.884074,13.628584,12.443897,7.593979,7.348491,229.328036,2
0.147913,0.060591,0.144062,5.732931,0.904728,13.579417,12.333657,7.844587,7.199629,249.20741,2
0.152103,0.079383,0.169669,5.580535,0.904842,13.799427,12.643708,7.588556,7.582791,266.412853,2
0.151278,0.084646,0.168179,5.568461,0.876471,14.06733,12.944977,7.514373,7.694672,260.877309,2
0.152706,0.069182,0.217463,5.779737,0.852697,14.01371,12.792203,7.569467,7.680916,236.31803,2
0.146412,0.061784,0.151512,5.981304,0.852296,14.103488,12.79837,7.715368,8.163979,229.53785,2
0.155687,0.059311,0.153432,6.220329,0.851786,14.057983,12.630828,7.714617,8.755189,237.727807,2
0.148076,0.06872,0.149873,5.967981,0.843226,13.934297,12.614826,7.636463,9.006838,238.034304,2
0.142979,0.056385,0.155042,5.838581,0.843912,13.879772,12.617755,7.571589,8.901786,252.536846,2
0.143556,0.059832,0.178377,5.327147,0.855614,14.127513,13.105634,7.513282,9.342031,255.598319,2
0.188515,0.192125,0.213095,99.913764,0.820594,113.222926,120.789011,7.436915,239.207469,869.163154,0
